date,region,day_of_week,reduced_bid_policy,ad_spend,impressions,clicks,platform_attributed_leads,total_qualified_leads,organic_plus_direct_leads,estimated_cost_per_qualified_lead
2026-02-11,Recruiting_Region_01,Wednesday,0,1383.3197638352365,72229.10283704099,2054.3085592142843,51,64,13,21.61437130992557
2026-02-12,Recruiting_Region_01,Thursday,1,633.0986350732805,52452.07795327517,1083.826894112812,12,61,49,10.378666148742305
2026-02-13,Recruiting_Region_01,Friday,0,1402.7949745207047,90707.78869227025,2045.0150270581823,50,60,10,23.379916242011745
2026-02-14,Recruiting_Region_01,Saturday,0,1310.9977833909406,86939.86138827476,2144.718036538689,46,56,10,23.410674703409654
2026-02-15,Recruiting_Region_01,Sunday,0,1247.3736723313343,85943.87918940211,2124.5109592034423,49,51,2,24.458307300614397
2026-02-16,Recruiting_Region_01,Monday,1,699.5021026790238,56404.62194464461,1081.1404257041643,17,55,38,12.718220048709524
2026-02-17,Recruiting_Region_01,Tuesday,1,739.0513055336488,50721.60116421876,1105.7746011358167,17,57,40,12.965812377783312
2026-02-18,Recruiting_Region_01,Wednesday,1,761.4661035771418,50462.75573554459,1358.3425777700152,20,58,38,13.128725923743824
2026-02-19,Recruiting_Region_01,Thursday,1,651.8480491051013,52068.51308443834,1254.875123092825,24,45,21,14.485512202335583
2026-02-20,Recruiting_Region_01,Friday,1,624.8183386516938,53323.979626414286,1252.3992374120899,27,58,31,10.772729976753341
2026-02-21,Recruiting_Region_01,Saturday,0,1252.3891831272379,92275.91752696222,2026.7173500367849,53,47,0,26.646578364409315
2026-02-22,Recruiting_Region_01,Sunday,1,655.2418750993648,53621.810784494024,1513.1342440934025,29,43,14,15.238183141845694
2026-02-23,Recruiting_Region_01,Monday,1,676.8002286511016,39132.111135750296,1410.1127749457276,17,56,39,12.085718368769673
2026-02-24,Recruiting_Region_01,Tuesday,0,1356.7103141907503,86821.76533093918,2186.426899659012,44,57,13,23.80193533667983
2026-02-25,Recruiting_Region_01,Wednesday,0,1431.3737062087655,86939.76925683413,1997.6930055139158,42,44,2,32.531220595653764
2026-02-26,Recruiting_Region_01,Thursday,1,704.4715668315578,55121.41404397684,1179.4982317820693,23,54,31,13.04576975613996
2026-02-27,Recruiting_Region_01,Friday,1,538.2445486020836,37800.68427995961,1144.1742313531754,20,61,41,8.82368112462432
2026-02-28,Recruiting_Region_01,Saturday,0,1286.8149915206338,83267.19402511002,2038.8332188643503,41,55,14,23.39663620946607
2026-03-01,Recruiting_Region_01,Sunday,0,1326.0896348983301,99118.40063060762,2043.7412509816363,57,59,2,22.47609550675136
2026-01-05,Recruiting_Region_02,Monday,0,1094.2929889319223,80728.11908943643,1744.320656158462,37,12,0,91.19108241099353
2026-01-06,Recruiting_Region_02,Tuesday,1,548.2800186493799,44668.55041210683,901.8769205997353,14,18,4,30.46000103607666
2026-01-07,Recruiting_Region_02,Wednesday,0,1061.6101329267838,63449.79358815995,1619.8176693464395,38,21,0,50.55286347270399
2026-01-08,Recruiting_Region_02,Thursday,1,610.2155012709682,36633.76545288247,1197.3160533000787,19,19,0,32.11660533005096
2026-01-09,Recruiting_Region_02,Friday,0,1329.6658453211312,72246.3504791587,1687.3066815902582,39,20,0,66.48329226605657
2026-01-10,Recruiting_Region_02,Saturday,0,1087.5256327835118,67836.98319717745,1718.039050358984,48,14,0,77.68040234167941
2026-01-11,Recruiting_Region_02,Sunday,1,661.1378222806636,41302.64799274847,1020.5465011767895,18,20,2,33.05689111403318
2026-01-12,Recruiting_Region_02,Monday,1,615.7870205591398,37232.392357886914,1130.1052410520697,20,31,11,19.864097437391607
2026-01-13,Recruiting_Region_02,Tuesday,1,481.04059068686695,40564.92962273285,966.0483071977104,17,27,10,17.816318173587664
2026-01-14,Recruiting_Region_02,Wednesday,1,550.621811932189,33096.03836858359,938.8866030932439,21,28,7,19.66506471186389
2026-01-15,Recruiting_Region_02,Thursday,1,531.2728024505662,38679.329626507264,1175.772709387791,26,22,0,24.148763747753012
2026-01-16,Recruiting_Region_02,Friday,1,492.6343535030057,43474.73229730501,920.3401233813242,7,25,18,19.705374140120227
2026-01-17,Recruiting_Region_02,Saturday,1,593.9438474393123,43659.73764580187,1024.8690285464822,25,15,0,39.59625649595416
2026-01-18,Recruiting_Region_02,Sunday,0,1289.3728960878097,86746.67215928603,1674.5424954653402,38,16,0,80.58580600548811
2026-01-19,Recruiting_Region_02,Monday,0,1030.5620175791043,75912.95470356813,1795.4134587609444,44,21,0,49.07438178948116
2026-01-20,Recruiting_Region_02,Tuesday,0,1194.7832744236932,63206.67458965781,1748.5982913608027,49,15,0,79.65221829491288
2026-01-21,Recruiting_Region_02,Wednesday,0,1031.4785152723891,75955.29383736287,1768.749534266613,38,18,0,57.30436195957717
2026-01-22,Recruiting_Region_02,Thursday,1,430.1571667409461,42084.11813794361,988.1105976601755,15,15,0,28.677144449396405
2026-01-23,Recruiting_Region_02,Friday,1,636.6899677869985,39305.76085463632,772.0088355465284,15,16,1,39.79312298668741
2026-01-24,Recruiting_Region_02,Saturday,1,670.2953685619356,44102.142107651925,1415.1638967321317,26,19,0,35.278703608522925
2026-01-25,Recruiting_Region_02,Sunday,0,1195.7169756802543,79609.85596705608,1659.4555205509064,42,17,0,70.33629268707378
2026-01-26,Recruiting_Region_02,Monday,0,1092.7440347124964,70389.11291708551,1768.0575390768272,38,31,0,35.24980757137085
2026-01-27,Recruiting_Region_02,Tuesday,1,516.5640666857362,29418.755615445767,980.1526022152576,17,17,0,30.386121569749186
2026-01-28,Recruiting_Region_02,Wednesday,1,492.966314986314,41867.463706895156,1241.8181707705776,25,17,0,28.998018528606707
2026-01-29,Recruiting_Region_02,Thursday,0,1197.8449271790798,72650.31106507337,1818.443774225397,48,22,0,54.44749668995817
2026-01-30,Recruiting_Region_02,Friday,0,987.8034765141545,76496.98811395816,1681.6036902854162,44,21,0,47.03826078638831
2026-01-31,Recruiting_Region_02,Saturday,0,994.1532060208639,67649.49298952354,1917.180752647396,39,11,0,90.3775641837149
2026-02-01,Recruiting_Region_02,Sunday,0,1178.8761846503373,73045.87724009246,1798.5635464260897,32,9,0,130.98624273892636
2026-02-02,Recruiting_Region_02,Monday,1,377.4031056546923,47690.31337065285,1259.8298621072538,24,30,6,12.580103521823077
2026-02-03,Recruiting_Region_02,Tuesday,1,555.5805322364325,37268.49526485282,1106.9142679003871,28,28,0,19.842161865586878
2026-02-04,Recruiting_Region_02,Wednesday,0,1217.5607173699213,76243.31367218598,1784.7584311202802,33,30,0,40.58535724566404
2026-02-05,Recruiting_Region_02,Thursday,0,1168.70906532188,62915.5072065195,1738.0982400371258,31,40,9,29.217726633047
2026-02-06,Recruiting_Region_02,Friday,1,720.0195754401567,43584.387476276876,1281.0068657070474,17,41,24,17.561453059516015
2026-02-07,Recruiting_Region_02,Saturday,1,596.6302816123932,35016.12704098001,1098.7699754470445,21,33,12,18.079705503405854
2026-02-08,Recruiting_Region_02,Sunday,0,1121.9839531890216,68621.82800835869,1564.6864799137443,31,42,11,26.713903647357657
2026-02-09,Recruiting_Region_02,Monday,1,685.4852500725663,48006.44424749933,1238.7843895582832,19,43,24,15.941517443548053
2026-02-10,Recruiting_Region_02,Tuesday,0,1172.3654848263702,79805.68953377537,1870.2248545182242,40,44,4,26.64467010969023
2026-02-11,Recruiting_Region_02,Wednesday,1,531.2273404581631,43893.70427223848,1053.1665645664054,21,59,38,9.00385322810446
2026-02-12,Recruiting_Region_02,Thursday,1,727.4824277041375,35789.27636353098,830.2605216170331,13,47,34,15.478349525619947
2026-02-13,Recruiting_Region_02,Friday,0,1173.947599632608,81313.27852986717,1580.6160005378306,40,36,0,32.60965554535022
2026-02-14,Recruiting_Region_02,Saturday,1,558.9793920332595,52658.54486092415,1110.0505419912033,19,35,16,15.970839772378843
2026-02-15,Recruiting_Region_02,Sunday,0,1069.1437512162909,78054.85670646474,1680.1892701527888,36,31,0,34.48850810375132
2026-02-16,Recruiting_Region_02,Monday,0,1137.6624776388826,74576.5756162774,1782.4730666404528,34,34,0,33.460661107025956
2026-02-17,Recruiting_Region_02,Tuesday,1,463.38697760683743,39942.52306532049,1029.391962441912,15,36,21,12.871860489078818
2026-02-18,Recruiting_Region_02,Wednesday,0,1142.3191065534763,62319.664026732,1472.6106127221392,28,25,0,45.69276426213905
2026-02-19,Recruiting_Region_02,Thursday,0,1254.6038825330922,70353.00150963021,1402.0065202329981,37,36,0,34.85010784814145
2026-02-20,Recruiting_Region_02,Friday,0,1139.999088244867,71010.76360042405,1863.6416493443962,43,30,0,37.99996960816223
2026-02-21,Recruiting_Region_02,Saturday,0,1173.35459356708,73289.41093044198,1708.0599762843915,28,35,7,33.52441695905943
2026-02-22,Recruiting_Region_02,Sunday,0,1174.0520450631516,75781.0699075232,1646.3456989406998,40,35,0,33.54434414466147
2026-02-23,Recruiting_Region_02,Monday,0,1186.6281552386235,80224.22633641885,1482.7237043371258,33,35,2,33.903661578246385
2026-02-24,Recruiting_Region_02,Tuesday,1,568.8280320692712,42597.13676733215,1106.2077684398914,30,48,18,11.850584001443151
2026-02-25,Recruiting_Region_02,Wednesday,1,646.9005725854557,35850.958883048945,1094.0016234691714,27,38,11,17.023699278564624
2026-02-26,Recruiting_Region_02,Thursday,0,1163.8230014726055,70769.02768430681,1770.8868633750465,44,36,0,32.32841670757237
2026-02-27,Recruiting_Region_02,Friday,1,721.0950123304161,39518.547959919844,1397.00524059559,29,39,10,18.4896157007799
2026-02-28,Recruiting_Region_02,Saturday,1,587.510598474015,34674.63459646096,1072.1674307088952,11,28,17,20.98252137407196
2026-03-01,Recruiting_Region_02,Sunday,1,580.8063350029288,43407.88478480348,1185.6114459428734,19,38,19,15.284377236919179
2026-01-05,Recruiting_Region_03,Monday,0,1323.4825362281567,85440.99968915599,2169.3802981565395,43,25,0,52.93930144912627
2026-01-06,Recruiting_Region_03,Tuesday,0,1452.7862363500626,93310.80458819456,2242.695273571351,52,33,0,44.02382534394129
2026-01-07,Recruiting_Region_03,Wednesday,0,1535.586955947362,92172.01083827477,2097.5508266694633,55,32,0,47.98709237335506
2026-01-08,Recruiting_Region_03,Thursday,1,804.1892081179735,47561.55888805481,1510.6688073761409,27,31,4,25.941587358644306
2026-01-09,Recruiting_Region_03,Friday,0,1371.6837438330683,94041.01762099253,2038.3664949688787,50,37,0,37.072533617109954
2026-01-10,Recruiting_Region_03,Saturday,1,879.6774619087676,53637.04715920437,1437.5149200499538,22,30,8,29.322582063625585
2026-01-11,Recruiting_Region_03,Sunday,0,1379.396929937507,97284.03821987261,2078.8300411033674,52,27,0,51.08877518287063
2026-01-12,Recruiting_Region_03,Monday,0,1316.8730771474025,89795.63847834906,1955.5345129672617,36,41,5,32.11885554018055
2026-01-13,Recruiting_Region_03,Tuesday,1,684.1104950104693,60707.064743824245,1415.750393160093,19,37,18,18.489472838120793
2026-01-14,Recruiting_Region_03,Wednesday,0,1383.970038170322,83367.14494399307,1961.9264904031897,36,44,8,31.453864503870953
2026-01-15,Recruiting_Region_03,Thursday,1,815.3546421191894,53804.91556891952,1298.775428944553,16,40,24,20.383866052979734
2026-01-16,Recruiting_Region_03,Friday,0,1479.6046581109695,93914.88122629252,2019.9438690399447,51,38,0,38.936964687130775
2026-01-17,Recruiting_Region_03,Saturday,0,1396.9526221885628,84719.37944586453,2131.340931111916,36,34,0,41.086841829075375
2026-01-18,Recruiting_Region_03,Sunday,0,1465.5418300530177,91073.84509890775,2065.122032754073,51,35,0,41.87262371580051
2026-01-19,Recruiting_Region_03,Monday,1,730.4837078729563,51471.48527629897,1111.3939462185601,25,43,18,16.98799320634782
2026-01-20,Recruiting_Region_03,Tuesday,1,724.1669894295641,59899.357253524715,1392.0841731344265,29,40,11,18.1041747357391
2026-01-21,Recruiting_Region_03,Wednesday,0,1202.3986695974897,80048.24647847402,2091.9855586937656,51,25,0,48.09594678389959
2026-01-22,Recruiting_Region_03,Thursday,1,836.6452289501723,58478.98859961435,1407.9900887731822,28,31,3,26.988555772586203
2026-01-23,Recruiting_Region_03,Friday,0,1562.692277996865,77576.95136591628,1978.2988246103164,38,30,0,52.0897425998955
2026-01-24,Recruiting_Region_03,Saturday,0,1329.171675569327,86322.11884100712,2482.0628987009263,59,28,0,47.470416984618815
2026-01-25,Recruiting_Region_03,Sunday,1,645.0401396840224,52346.23595813327,1176.0358103322267,22,23,1,28.045223464522714
2026-01-26,Recruiting_Region_03,Monday,0,1297.315235143937,95757.51958863233,2058.5702461728197,32,36,4,36.0365343095538
2026-01-27,Recruiting_Region_03,Tuesday,0,1409.3678383816357,99481.53197119254,2293.574166959313,64,29,0,48.59889097867709
2026-01-28,Recruiting_Region_03,Wednesday,1,623.1760894140676,47716.981770909995,1577.1020129832793,20,34,14,18.32870851217846
2026-01-29,Recruiting_Region_03,Thursday,1,730.1083909641507,49234.81397004357,1296.4149506836925,21,34,13,21.47377620482796
2026-01-30,Recruiting_Region_03,Friday,0,1507.0037988073057,88366.82199823267,2138.423398696874,60,31,0,48.613025767977604
2026-01-31,Recruiting_Region_03,Saturday,1,526.1066191868022,46238.43952363476,1556.3068090274905,32,21,0,25.052696151752485
2026-02-01,Recruiting_Region_03,Sunday,1,809.0639303292677,49641.35377498902,1456.8028188879803,31,35,4,23.116112295121933
2026-02-02,Recruiting_Region_03,Monday,1,664.546124198703,52959.13325956787,1458.2323854058818,21,58,37,11.457691796529362
2026-02-03,Recruiting_Region_03,Tuesday,0,1582.7023785449676,88136.37729783032,2298.431232350136,53,68,15,23.275034978602463
2026-02-04,Recruiting_Region_03,Wednesday,1,591.694670738172,58133.059679409576,1581.245616135981,28,58,30,10.201632254106414
2026-02-05,Recruiting_Region_03,Thursday,0,1496.3386855060658,90844.78763274799,2388.7520121820917,44,60,16,24.938978091767762
2026-02-06,Recruiting_Region_03,Friday,1,697.3561006458599,52540.34027574062,1369.0477163990172,26,62,36,11.24767904267516
2026-02-07,Recruiting_Region_03,Saturday,1,680.5940126126746,52941.36812090438,1306.0951423224262,26,66,40,10.312030494131434
2026-02-08,Recruiting_Region_03,Sunday,1,815.4407503380834,53145.49034691985,1416.6205897417776,23,56,33,14.561441970322917
2026-02-09,Recruiting_Region_03,Monday,1,755.958199880772,50398.11737669717,1332.7680999648574,24,83,59,9.107930119045445
2026-02-10,Recruiting_Region_03,Tuesday,0,1331.053325132023,91350.89702040721,1891.6254865825588,48,78,30,17.06478621964132
2026-02-11,Recruiting_Region_03,Wednesday,0,1158.852231969641,89145.3693058224,2009.1976655303167,50,69,19,16.794959883617985
2026-02-12,Recruiting_Region_03,Thursday,1,914.2775328665567,51696.73319205979,1432.9483387588182,25,63,38,14.512341791532647
2026-02-13,Recruiting_Region_03,Friday,1,737.7225375815299,44217.049982905155,1413.8026744686406,25,64,39,11.526914649711404
2026-02-14,Recruiting_Region_03,Saturday,0,1493.254434421907,80727.80986007425,2022.8781849347574,59,46,0,32.46205292221537
2026-02-15,Recruiting_Region_03,Sunday,1,997.3569031779458,51636.988812776624,1280.3378114374743,22,75,53,13.29809204237261
2026-02-16,Recruiting_Region_03,Monday,1,670.2689668590076,57850.53054481212,1369.8737010049051,30,56,26,11.96908869391085
2026-02-17,Recruiting_Region_03,Tuesday,0,1374.5866869981726,88799.87821948864,2129.5826185848487,46,88,42,15.62030326134287
2026-02-18,Recruiting_Region_03,Wednesday,1,703.7658582036615,54886.12670359887,1237.5541423817663,15,66,51,10.663119063691841
2026-02-19,Recruiting_Region_03,Thursday,0,1501.5281903901305,93283.45105488315,1953.9125046038266,34,61,27,24.615216235903777
2026-02-20,Recruiting_Region_03,Friday,1,767.503062692706,60917.77653966635,1543.446978996267,28,55,27,13.95460113986738
2026-02-21,Recruiting_Region_03,Saturday,1,748.7834686242745,59681.08163053211,1242.8087489611019,27,60,33,12.479724477071242
2026-02-22,Recruiting_Region_03,Sunday,1,688.2930851815814,55355.08257183276,1140.8042156199504,10,34,24,20.243914270046513
2026-02-23,Recruiting_Region_03,Monday,0,1488.7553967435542,92464.23574845998,2247.3250251134555,52,67,15,22.2202298021426
2026-02-24,Recruiting_Region_03,Tuesday,0,1273.808299077958,97991.90335248316,2340.4257353247867,40,60,20,21.230138317965967
2026-02-25,Recruiting_Region_03,Wednesday,1,742.4981858596632,51618.170012071605,1356.8394231927296,19,66,47,11.249972513025199
2026-02-26,Recruiting_Region_03,Thursday,1,818.1566490187779,57879.24298744569,1469.1683094060909,21,65,44,12.58702536951966
2026-02-27,Recruiting_Region_03,Friday,0,1414.8340542323292,88636.81569797336,1778.3673195662013,39,69,30,20.50484136568593
2026-02-28,Recruiting_Region_03,Saturday,0,1290.6465727912062,98969.62822586253,2143.8741709239525,46,63,17,20.48645353636835
2026-03-01,Recruiting_Region_03,Sunday,0,1471.2020222441263,90478.01533450696,2111.216027880609,45,78,33,18.861564387745208
2026-01-05,Recruiting_Region_04,Monday,1,547.2026106162583,30547.314260425617,1058.8782613847106,18,16,0,34.200163163516144
2026-01-06,Recruiting_Region_04,Tuesday,1,547.9143963609761,35708.248564269445,1031.154775734938,15,19,4,28.837599808472426
2026-01-07,Recruiting_Region_04,Wednesday,1,522.9886025984866,39887.490566295695,1082.7499300267389,18,23,5,22.738634895586376
2026-01-08,Recruiting_Region_04,Thursday,0,809.5596791984073,56599.68979919184,1152.4190680665783,30,17,0,47.62115759990631
2026-01-09,Recruiting_Region_04,Friday,1,313.74095311709846,40267.83317097104,1038.5180781019887,20,32,12,9.804404784909327
2026-01-10,Recruiting_Region_04,Saturday,0,902.194462542676,67694.49244143852,1290.5217503448173,36,22,0,41.00883920648527
2026-01-11,Recruiting_Region_04,Sunday,1,646.1026323960053,35571.160942678165,734.8252944126228,14,18,4,35.894590688666966
2026-01-12,Recruiting_Region_04,Monday,1,447.72431218362067,33673.317057651264,918.8102011610248,21,24,3,18.655179674317527
2026-01-13,Recruiting_Region_04,Tuesday,1,593.403376071473,36070.82695877513,915.3560749326789,11,36,25,16.48342711309647
2026-01-14,Recruiting_Region_04,Wednesday,1,456.2296009501114,30473.678579406125,987.3889910740478,17,26,9,17.547292344235053
2026-01-15,Recruiting_Region_04,Thursday,1,548.980176653396,36801.621253693884,777.353342004762,10,16,6,34.31126104083725
2026-01-16,Recruiting_Region_04,Friday,0,978.8026408515632,66599.88006997925,1418.4779701018388,29,28,0,34.957237173270116
2026-01-17,Recruiting_Region_04,Saturday,1,422.9623333935778,34367.38133074475,786.0837554707489,19,22,3,19.22556060879899
2026-01-18,Recruiting_Region_04,Sunday,0,1016.0071742293555,72251.4914689592,1371.089760642718,35,23,0,44.17422496649372
2026-01-19,Recruiting_Region_04,Monday,1,486.86308457009216,44342.45050553355,1032.3715320717524,23,23,0,21.16796019869966
2026-01-20,Recruiting_Region_04,Tuesday,0,1000.8069761720819,59844.37293511957,1579.05376922314,33,20,0,50.040348808604094
2026-01-21,Recruiting_Region_04,Wednesday,0,1065.7163026251874,70039.0525126321,1534.8916959284168,29,32,3,33.303634457037106
2026-01-22,Recruiting_Region_04,Thursday,1,437.6137127748929,37675.44509605988,964.1063227820039,20,31,11,14.116571379835255
2026-01-23,Recruiting_Region_04,Friday,1,376.7809042608352,39639.55215433637,652.4872277618392,7,23,16,16.38177844612327
2026-01-24,Recruiting_Region_04,Saturday,1,627.6429755203187,35890.18104868722,876.0832354469375,22,22,0,28.52922616001449
2026-01-25,Recruiting_Region_04,Sunday,1,494.074441630771,28253.31048004366,1016.8228945065744,16,12,0,41.17287013589758
2026-01-26,Recruiting_Region_04,Monday,1,516.726790386833,38423.54174893148,875.4927917178461,21,28,7,18.45452822810118
2026-01-27,Recruiting_Region_04,Tuesday,0,1087.2506260620423,65578.65405079423,1415.4949879174262,35,25,0,43.49002504248169
2026-01-28,Recruiting_Region_04,Wednesday,0,1054.1603967273854,60613.02722609513,1542.110133529297,32,22,0,47.91638166942661
2026-01-29,Recruiting_Region_04,Thursday,0,942.8117371665915,56703.93650310453,1563.2045126568948,40,23,0,40.99181465941702
2026-01-30,Recruiting_Region_04,Friday,0,886.1845618581149,60860.058969729085,1528.2614821528239,38,29,0,30.558088339934997
2026-01-31,Recruiting_Region_04,Saturday,0,1018.0218454876768,69210.83565402351,1488.5629956150435,39,27,0,37.70451279583988
2026-02-01,Recruiting_Region_04,Sunday,0,897.135133209278,64270.048248361134,1433.9985042337496,29,23,0,39.00587535692513
2026-02-02,Recruiting_Region_04,Monday,0,860.5599135949051,59928.90859587987,1759.859955847208,27,43,16,20.01302124639314
2026-02-03,Recruiting_Region_04,Tuesday,0,1000.3012539767946,63780.14411970161,1498.0637297671778,35,43,8,23.262819859925454
2026-02-04,Recruiting_Region_04,Wednesday,1,603.4261366561502,29346.94584173247,941.6790318957678,21,33,12,18.285640504731823
2026-02-05,Recruiting_Region_04,Thursday,0,1041.4654987392275,56358.84893005916,1597.1365921283339,42,51,9,20.420892132141717
2026-02-06,Recruiting_Region_04,Friday,1,601.3581540780806,32612.97913993994,885.8581965589968,13,42,29,14.318051287573347
2026-02-07,Recruiting_Region_04,Saturday,0,1155.7847747223002,76045.80946327971,1375.8837364673489,23,45,22,25.684106104940003
2026-02-08,Recruiting_Region_04,Sunday,0,892.9103860480174,57788.386340892546,1491.11998141092,23,42,19,21.259771096381364
2026-02-09,Recruiting_Region_04,Monday,1,473.65532868578225,37268.881508807404,797.9268944152894,14,66,52,7.176595889178519
2026-02-10,Recruiting_Region_04,Tuesday,0,1013.3534524749923,57405.89558873892,1699.98313487009,26,54,28,18.76580467546282
2026-02-11,Recruiting_Region_04,Wednesday,0,1058.6774065931413,70244.62664631118,1654.0690261125303,35,48,13,22.055779304023776
2026-02-12,Recruiting_Region_04,Thursday,0,992.589170130696,65079.899532530326,1470.7775545884776,36,55,19,18.04707582055811
2026-02-13,Recruiting_Region_04,Friday,1,463.0070661120182,34436.21763543555,961.159431690767,15,50,35,9.260141322240365
2026-02-14,Recruiting_Region_04,Saturday,1,334.04983856735754,39496.477678009134,966.2480457698894,15,37,22,9.028374015333988
2026-02-15,Recruiting_Region_04,Sunday,0,1056.453698143947,68703.27997828498,1572.7946488322516,37,54,17,19.563957373036054
2026-02-16,Recruiting_Region_04,Monday,0,1054.5731482296314,58735.732991312536,1597.4702217953616,41,44,3,23.96757155067344
2026-02-17,Recruiting_Region_04,Tuesday,1,571.5097067398406,37356.580408084126,994.8672889292668,17,42,25,13.607373969996203
2026-02-18,Recruiting_Region_04,Wednesday,1,517.5804753125147,41707.03163061853,771.6627362835842,13,49,36,10.562866843112547
2026-02-19,Recruiting_Region_04,Thursday,0,956.8078386394513,67211.34638623822,1426.476396916783,34,31,0,30.8647689883694
2026-02-20,Recruiting_Region_04,Friday,1,450.8031503908118,35945.19983456113,1102.0078900995384,15,41,26,10.995198790019801
2026-02-21,Recruiting_Region_04,Saturday,1,650.7255931736954,42505.328097389254,1004.0063602652662,25,27,2,24.10094789532205
